tag,seed,lr,valid,accuracy,forgetting,bwt,ncm_accuracy,ncm_forgetting,max_state_norm,max_state_growth,runtime_sec,device,git_commit,status,failure,path
improved,0,0.001,True,0.3631746031746032,-0.05607142857142856,0.17964285714285716,0.7050793650793651,0.07964285714285715,103.16853950218724,1.0737942382557577,1542.5,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed0_improved_m3_delta_clip_f16_lr0.001_rnever_optkeep_splitcombined31500_v2
improved,0,0.005,True,0.6088888888888889,-0.029285714285714262,0.22428571428571425,0.7361904761904762,0.06964285714285715,96.22297273727355,1.0343424910712253,1522.9,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed0_improved_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2
legacy,0,0.001,False,,,,,,inf,inf,691.1,,,failed,FloatingPointError: M3 nhận gradient chứa NaN/Inf,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed0_legacy_m3_delta_rms_f16_lr0.001_rnever_splitcombined31500_v2
ablation-clip-carry,1,0.005,True,0.5571428571428572,-0.03285714285714286,0.21928571428571428,0.733015873015873,0.06642857142857142,87.42291847502,1.0918860628483837,1524.0,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_ablation-clip-carry_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2
ablation-clip-only,1,0.005,True,0.5568253968253969,0.19607142857142854,-0.19607142857142854,0.7326984126984127,0.07607142857142858,87.42291847502,1.1015658655292249,1530.9,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_ablation-clip-only_m3_delta_clip_f16_lr0.005_rnever_splitcombined31500_v2
improved,1,0.0001,True,0.02095238095238095,0.07857142857142857,-0.06571428571428573,0.6901587301587302,0.09142857142857139,186.58777628352792,1.147319250937893,1537.5,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_improved_m3_delta_clip_f16_lr0.0001_rnever_optkeep_splitcombined31500_v2
improved,1,0.0003,True,0.09587301587301586,0.03535714285714286,-0.019642857142857142,0.6987301587301586,0.0867857142857143,197.15654840784063,1.0736358535372879,1538.3,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_improved_m3_delta_clip_f16_lr0.0003_rnever_optkeep_splitcombined31500_v2
improved,1,0.001,True,0.39714285714285713,-0.05785714285714288,0.1717857142857143,0.7022222222222223,0.08535714285714284,126.17848445158617,1.244501317303798,1533.4,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_improved_m3_delta_clip_f16_lr0.001_rnever_optkeep_splitcombined31500_v2
improved,1,0.003,True,0.5412698412698412,-0.03714285714285715,0.19714285714285718,0.7177777777777777,0.06892857142857141,151.91850406535295,1.675855904606716,1538.9,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_improved_m3_delta_clip_f16_lr0.003_rnever_optkeep_splitcombined31500_v2
improved,1,0.005,True,0.6107936507936509,-0.015714285714285715,0.18857142857142858,0.7399999999999999,0.06107142857142857,120.4526306103329,1.0182176636876101,1533.1,cuda,9b7e496a5630901483c933d0f3023efda452b324,complete,,/home/an/RaybanMeta/uav-continual-learning/artifacts/titan_m3_study/results/resisc45_titans_seed1_improved_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2
