average_accuracy,average_forgetting,backward_transfer,feature_protocol,gamma,prototype_loader,readout,result_dir,revisit_old_train,seed,tag,transport
0.6133333333333334,0.2735714285714286,-0.2735714285714286,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_blend-screen-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadaptd54497ce,False,0,blend-screen-seed0,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6215873015873016,0.26535714285714285,-0.26535714285714285,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_distill-fixed-w001-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadapt3818619c,False,0,distill-fixed-w0.01-seed0,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6266666666666667,0.255,-0.255,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_distill-fixed-w005-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadaptb60718fc,False,0,distill-fixed-w0.05-seed0,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6387301587301588,0.2410714285714286,-0.2410714285714286,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_distill-fixed-w01-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadaptee1dfa84,False,0,distill-fixed-w0.1-seed0,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6879365079365081,0.17571428571428577,-0.17535714285714288,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_full-combination-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadapt850a88ec,False,0,full-combination-seed0,"{'enabled': True, 'type': 'diagonal', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.711111111111111,0.13178571428571428,-0.13142857142857142,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed0_transport-candidates-seed0_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadapt0008bee1,False,0,transport-candidates-seed0,"{'enabled': True, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': [{'name': 'translation_r0_b1', 'type': 'translation', 'regularization': 0.0, 'beta': 1.0}, {'name': 'diagonal_r10_b0.5', 'type': 'diagonal', 'regularization': 10.0, 'beta': 0.5}, {'name': 'procrustes_r0_b0.5', 'type': 'procrustes', 'regularization': 0.0, 'beta': 0.5}, {'name': 'identity_ridge_r1_b0.5', 'type': 'identity_ridge', 'regularization': 1.0, 'beta': 0.5}, {'name': 'identity_ridge_r10_b0.5', 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5}, {'name': 'identity_ridge_r100_b0.5', 'type': 'identity_ridge', 'regularization': 100.0, 'beta': 0.5}, {'name': 'identity_ridge_r10_b0.25', 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.25}, {'name': 'identity_ridge_r10_b1', 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 1.0}]}"
0.6000000000000001,0.2932142857142857,-0.29107142857142854,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed1_blend-screen-seed1_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadaptd54497ce,False,1,blend-screen-seed1,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6809523809523809,0.1792857142857143,-0.1760714285714286,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed1_full-combination-seed1_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadapt850a88ec,False,1,full-combination-seed1,"{'enabled': True, 'type': 'diagonal', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.6365079365079365,0.24,-0.23964285714285716,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed2_blend-screen-seed2_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadaptd54497ce,False,2,blend-screen-seed2,"{'enabled': False, 'type': 'identity_ridge', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
0.7006349206349207,0.1582142857142857,-0.15535714285714286,independent_image,1.0,prototype,ncm_online_blend_gamma_1,artifacts_ncm_adaptation/results/resisc45_titans_seed2_full-combination-seed2_m3_delta_clip_f16_lr0.005_rnever_optkeep_splitcombined31500_v2_ncmadapt850a88ec,False,2,full-combination-seed2,"{'enabled': True, 'type': 'diagonal', 'regularization': 10.0, 'beta': 0.5, 'safety_gate': True, 'min_improvement': 0.0, 'max_condition': 1000000.0, 'screen_gamma': 1.0, 'candidates': []}"
